종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
419890,6,히어로즈 단기채권ESG액티브,99665,2,35,0.04,99641.0,-0.5739,2,0,498,채권,히어로즈,False,False,False
122260,6,KOSEF 통안채1년,100900,3,0,0.0,100877.0,-0.4047,3,0,494,채권,KOSEF,False,False,False
387280,2,TIGER 퓨처모빌리티액티브,8705,5,-375,-4.13,8704.0,-11.3715,19883,176,491,국내 업종/테마,TIGER,False,False,False
256440,4,KINDEX 인도네시아MSCI(합성),9985,2,10,0.1,10255.0,-2.2059,23233,230,469,해외 주식,KINDEX,False,False,False
400590,4,SOL 글로벌탄소배출권선물IHS(합성),12345,5,-220,-1.75,12466.0,8.5998,16055,198,469,해외 주식,SOL,False,False,False
152380,6,KODEX 국채선물10년,61800,2,10,0.02,61604.0,-6.2652,6690,414,464,채권,KODEX,False,False,False
315960,2,KBSTAR 대형고배당10TR,13125,5,-135,-1.02,13125.0,-12.8492,1183,15,453,국내 업종/테마,KBSTAR,False,False,False
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,7790,2,240,3.18,7811.0,-19.8514,6573,50,449,해외 주식,TIGER,False,False,False
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),8950,2,40,0.45,8963.0,-9.991,39178,352,448,해외 주식,KODEX,False,False,True
261260,7,KODEX 미국달러선물인버스2X,7270,5,-45,-0.62,7260.0,-12.3953,292997,2132,440,기타,KODEX,True,False,False
136340,6,KBSTAR 중기우량회사채,101270,5,-30,-0.03,101279.0,-2.3474,1217,123,435,채권,KBSTAR,False,False,False
269540,4,ARIRANG 미국S&P500(H),15900,2,130,0.82,15921.0,-15.4651,10703,170,429,해외 주식,ARIRANG,False,False,True
341850,7,TIGER 리츠부동산인프라채권TR KIS,5380,5,-40,-0.74,5371.0,-5.3771,4677,25,428,기타,TIGER,False,False,False
