종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.03),추정PERlEPS,PBRlBPS (2022.03),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),PERlEPS(2022.02),PBRlBPS (2022.02),배당수익률l2021.11
퓨쳐켐 *,16550.0,50.0,-0.30%,16400.0,16450.0,7214.0,119.0,94743.0,2022-07-12,퓨쳐켐,220100,,,,,,,,,,,,,,,,,"2,239  억원",코스닥 355위,13691971,500원  l  1주,13691971,211877,1.55%,N/A  l  N/A,"25,900  l  14,150",N/A  l  -665원,N/A  l  N/A,"4.46배  l  3,664원",,106.06배,+0.27%,,,,,,
보로노이 *,45350.0,150.0,-0.33%,44250.0,44300.0,80371.0,3664.0,1597957.0,2022-07-12,보로노이,310210,,,,,,,,,,,,,,,,,"5,511  억원",코스닥 108위,12638949,500원  l  1주,12638949,41476,0.33%,N/A  l  N/A,"52,600  l  29,100",,N/A  l  N/A,,,106.06배,+0.22%,,N/A  l  N/A,"41.56배  l  1,049원",,,
유한양행,57200.0,200.0,-0.35%,57400.0,57500.0,9951.0,572.0,126051.0,2022-07-12,유한양행,000100,4718.0,186.0,291.0,3.95,6.16,,,,,431.0,133.27,,,,,,"4조  1,815  억원",코스피 73위,73231476,"1,000원  l  1주",73231476,13709078,18.72%,"4.00매수  l  81,269","67,200  l  53,500","43.39배  l  1,316원","40.00배  l  1,433원","2.06배  l  27,760원",,106.06배,+0.22%,0.67%,,,,,
아이큐어 *,13550.0,50.0,-0.37%,12900.0,13400.0,18514.0,249.0,229920.0,2022-07-12,아이큐어,175250,,,,,,,,,,,,,,,,,"2,622  억원",코스닥 288위,19001657,500원  l  1주,19001657,139937,0.74%,N/A  l  N/A,"24,859  l  10,200","N/A  l  -2,208원",N/A  l  N/A,"2.88배  l  4,784원",,106.06배,+0.27%,,,,,,
신신제약 *,5190.0,20.0,-0.38%,5120.0,5240.0,1189.0,6.0,22991.0,2022-07-12,신신제약,002800,,,,,,,,,,,,,,,,,778  억원,코스닥 1021위,15170500,500원  l  1주,15170500,110748,0.73%,N/A  l  N/A,"8,800  l  4,165",N/A  l  -13원,N/A  l  N/A,"1.41배  l  3,651원",,106.06배,+0.22%,,,,,,
차백신연구소 *,7960.0,30.0,-0.38%,7710.0,7790.0,1016657.0,7937.0,17895398.0,2022-07-12,차백신연구소,261780,,,,,,,,,,,,,,,,,"2,027  억원",코스닥 395위,26429162,500원  l  1주,26429162,43984,0.17%,N/A  l  N/A,"14,900  l  5,830",,N/A  l  N/A,,,106.06배,+0.27%,,N/A  l  -792원,"5.32배  l  1,443원",,,
씨케이에이치 *,254.0,1.0,-0.39%,255.0,256.0,63334.0,16.0,1491884.0,2022-07-12,씨케이에이치,900120,,,,,,,,,,,,,,,,,311  억원,코스닥 1458위,123012232,0.05 USD  l  1주,123012232,24691395,20.07%,N/A  l  N/A,445  l  210,4.87배  l  52원,N/A  l  N/A,"0.08배  l  3,296원",,106.06배,+0.22%,,,,,,
한국유니온제약 *,7300.0,30.0,-0.41%,7280.0,7360.0,85.0,1.0,28042.0,2022-07-12,한국유니온제약,080720,,,,,,,,,,,,,,,,,569  억원,코스닥 1227위,7903728,500원  l  1주,7903728,85256,1.08%,N/A  l  N/A,"15,150  l  5,900","N/A  l  -1,263원",N/A  l  N/A,"1.10배  l  6,560원",,106.06배,+0.27%,,,,,,
코스맥스비티아이,9500.0,40.0,-0.42%,9410.0,9540.0,312.0,2.0,4478.0,2022-07-12,코스맥스비티아이,044820,,,,,,,,,,,,,,,,,885  억원,코스피 857위,9603921,500원  l  1주,9603921,473454,4.93%,N/A  l  N/A,"19,900  l  9,100","6.75배  l  1,365원",N/A  l  N/A,"0.28배  l  32,816원",,106.06배,+0.27%,2.82%,,,,,
비엘팜텍 *,940.0,4.0,-0.42%,932.0,940.0,2927.0,3.0,158105.0,2022-07-12,비엘팜텍,065170,,,,,,,,,,,,,,,,,849  억원,코스닥 950위,88970559,500원  l  1주,88970559,5021781,5.64%,N/A  l  N/A,"2,155  l  848",N/A  l  -232원,N/A  l  N/A,1.43배  l  667원,,106.06배,+0.22%,,,,,,
안트로젠 *,21700.0,100.0,-0.46%,21100.0,21900.0,2564.0,55.0,30405.0,2022-07-12,안트로젠,065660,,,,,,,,,,,,,,,,,"2,077  억원",코스닥 384위,9730373,500원  l  1주,9730373,708408,7.28%,N/A  l  N/A,"101,500  l  19,300",N/A  l  -37원,N/A  l  N/A,"1.54배  l  13,896원",,106.06배,+0.22%,,,,,,
한미사이언스,41550.0,200.0,-0.48%,41700.0,41750.0,11050.0,462.0,91488.0,2022-07-12,한미사이언스,008930,,,,,,,,,,,,,,,,,"2조  8,650  억원",코스피 101위,68623684,500원  l  1주,68623684,1037753,1.51%,N/A  l  N/A,"83,486  l  37,400",59.30배  l  704원,N/A  l  N/A,"4.04배  l  10,344원",,106.06배,+0.22%,0.47%,,,,,
삼성바이오로직스,825000.0,4000.0,-0.48%,826000.0,828000.0,3667.0,3033.0,62385.0,2022-07-12,삼성바이오로직스,207940,4546.0,1480.0,1125.0,32.55,24.74,,,,,1676.0,494.75,,,,,,"58조  8,609  억원",코스피 4위,71174000,"2,500원  l  1주",71174000,7622546,10.71%,"4.00매수  l  1,100,000","1,034,746  l  684,889","115.47배  l  7,162원","111.00배  l  7,464원","12.81배  l  64,542원",,106.06배,+0.27%,,,,,,
하이텍팜 *,10150.0,50.0,-0.49%,10050.0,10200.0,504.0,5.0,4523.0,2022-07-12,하이텍팜,106190,,,,,,,,,,,,,,,,,712  억원,코스닥 1084위,7088782,500원  l  1주,7088782,3082162,43.48%,N/A  l  N/A,"23,850  l  8,860",N/A  l  -403원,N/A  l  N/A,"0.77배  l  13,028원",,106.06배,+0.22%,0.50%,,,,,
