종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PBR,PPS,BPS,PER(배),EPS(원),PBR(배),BPS(원),배당수익률(%)
팜스빌 *,12650.0,100.0,-0.78%,12450.0,12850.0,831.0,10.0,18148.0,2022-07-12,318010,,,,,,7929338,7929338,28800,0.36%,106.06,+0.22%,코스닥,999,823,19850,9500,10350,2.0894736842105264,-7200.0,0.6372795969773299,,,,1.66배 ," 7,580원"," 7,580원",20.26,622.0,1.66,7580.0,0.79
대봉엘에스 *,7500.0,60.0,-0.79%,7560.0,7600.0,2700.0,20.0,22241.0,2022-07-12,078140,242.0,34.0,,14.05,,11086579,11086579,226792,2.05%,106.06,+0.22%,코스닥,1041,804,11850,6860,4990,1.727405247813411,-4350.0,0.6329113924050633,13000.0,4.0,매수,0.93배 ," 10,147원"," 10,147원",13.59,691.0,0.93,10147.0,0.53
중앙백신 *,12200.0,100.0,-0.81%,12150.0,12300.0,532.0,7.0,13133.0,2022-07-12,072020,,,,,,9960000,9960000,177514,1.78%,106.06,+0.27%,코스닥,1210,694,18300,11200,7100,1.6339285714285714,-6100.0,0.6666666666666666,,,,1.26배 ," 9,657원"," 9,657원",14.75,824.0,1.26,9657.0,0.82
JW신약 *,3945.0,35.0,-0.88%,3980.0,4000.0,32865.0,129.0,468874.0,2022-07-12,067290,,,,,,46127437,46127437,1046179,2.27%,106.06,+0.27%,코스닥,1799,447,6250,3192,3058,1.9580200501253133,-2305.0,0.6312,,,,3.19배 ," 1,224원"," 1,224원",81.25,48.0,3.19,1224.0,
동구바이오제약 *,6670.0,60.0,-0.89%,6690.0,6700.0,10948.0,73.0,117072.0,2022-07-12,006620,,,,,,28464992,28464992,192924,0.68%,106.06,+0.22%,코스닥,1899,414,10900,6090,4810,1.7898193760262726,-4230.0,0.6119266055045871,,,,1.89배 ," 3,523원"," 3,523원",16.72,399.0,1.89,3523.0,1.5
광동제약,6410.0,60.0,-0.93%,6410.0,6450.0,2899.0,18.0,101897.0,2022-07-12,009290,,,,,,52420851,52420851,9862537,18.81%,106.06,+0.22%,코스피,3365,420,9900,5780,4120,1.71280276816609,-3490.0,0.6474747474747474,,,,0.52배 ," 12,248원"," 12,248원",13.21,486.0,0.52,12248.0,1.56
대한약품 *,26500.0,250.0,-0.93%,26750.0,26850.0,2585.0,69.0,11930.0,2022-07-12,023910,445.0,74.0,,16.63,,6000000,6000000,939878,15.66%,106.06,+0.27%,코스닥,1608,503,33650,24500,9150,1.373469387755102,-7150.0,0.787518573551263,40000.0,4.0,매수,0.78배 ," 34,473원"," 34,473원",6.79,3948.0,0.78,34473.0,1.49
옵티팜 *,8550.0,80.0,-0.93%,8410.0,8610.0,1297.0,11.0,25059.0,2022-07-12,153710,,,,,,14669958,14669958,50084,0.34%,106.06,+0.27%,코스닥,1256,660,17950,7950,10000,2.257861635220126,-9400.0,0.4763231197771588,,,,4.16배 ," 2,057원"," 2,057원",,-192.0,4.16,2057.0,
에이프로젠 H&G *,523.0,5.0,-0.95%,522.0,528.0,4801.0,3.0,117621.0,2022-07-12,109960,,,,,,178695217,178695217,812798,0.45%,106.06,+0.22%,코스닥,933,882,1130,470,660,2.404255319148936,-607.0,0.46283185840707963,,,,0.42배 ," 1,248원"," 1,248원",23.73,22.0,0.42,1248.0,
콜마비앤에이치 *,26150.0,250.0,-0.95%,26000.0,26400.0,3932.0,102.0,26818.0,2022-07-12,200130,1720.0,252.0,,14.65,,29543558,29543558,593377,2.01%,106.06,+0.26%,코스닥,7489,69,50700,24550,26150,2.065173116089613,-24550.0,0.5157790927021696,46500.0,4.0,매수,1.93배 ," 13,101원"," 13,101원",12.22,2075.0,1.93,13101.0,1.52
대한뉴팜 *,10200.0,100.0,-0.97%,10150.0,10300.0,2542.0,26.0,45731.0,2022-07-12,054670,,,,,,14354920,14354920,269418,1.88%,106.06,+0.22%,코스닥,1450,570,14400,9320,5080,1.5450643776824033,-4200.0,0.7083333333333334,,,,1.59배 ," 6,369원"," 6,369원",6.22,1625.0,1.59,6369.0,0.79
옵투스제약 *,6130.0,60.0,-0.97%,6150.0,6160.0,307.0,2.0,5599.0,2022-07-12,131030,,,,,,16153162,16153162,615067,3.81%,106.06,+0.22%,코스닥,982,838,8450,5550,2900,1.5225225225225225,-2320.0,0.7254437869822485,,,,0.76배 ," 7,957원"," 7,957원",9.84,618.0,0.76,7957.0,1.64
서울제약 *,5040.0,50.0,-0.98%,5060.0,5090.0,1462.0,7.0,25298.0,2022-07-12,018680,,,,,,8524523,8524523,143822,1.69%,106.06,+0.22%,코스닥,430,1370,12250,4100,8150,2.9878048780487805,-7210.0,0.4114285714285714,,,,2.30배 ," 2,198원"," 2,198원",,-881.0,2.3,2198.0,
코미팜 *,7050.0,70.0,-0.98%,7130.0,7190.0,5767.0,41.0,92733.0,2022-07-12,041960,,,,,,64185876,64185876,2821477,4.40%,106.06,+0.27%,코스닥,4461,139,13050,6730,6320,1.9390787518573551,-6000.0,0.5402298850574713,,,,6.60배 ," 1,053원"," 1,053원",,-86.0,6.6,1053.0,
SK바이오팜,78400.0,800.0,-1.01%,78200.0,79000.0,4363.0,343.0,92955.0,2022-07-12,326030,538.0,-315.0,-295.0,-58.53,-54.83,78313250,78313250,4547827,5.81%,106.06,+0.26%,코스피,61163,51,133000,66300,66700,2.0060331825037707,-54600.0,0.5894736842105263,115000.0,3.9,매수,14.87배 ," 5,251원"," 5,251원",,-1269.0,14.87,5251.0,
JW홀딩스,3395.0,35.0,-1.02%,3390.0,3465.0,958.0,3.0,19114.0,2022-07-12,096760,,,,,,70444706,70444706,1483624,2.11%,106.06,+0.22%,코스피,2381,518,4566,3069,1497,1.487781036168133,-1171.0,0.743539202803329,,,,2.50배 ," 1,352원"," 1,352원",,-41.0,2.5,1352.0,2.59
프레스티지바이오로직스 *,4365.0,45.0,-1.02%,4435.0,4495.0,5786.0,26.0,143476.0,2022-07-12,334970,,,,,,47320139,47320139,9937226,21.00%,106.06,+0.22%,코스닥,2077,386,17600,3955,13645,4.450063211125158,-13235.0,0.24801136363636364,,,,2.17배 ," 2,019원"," 2,019원",,-1052.0,2.17,2019.0,
진바이오텍 *,4790.0,50.0,-1.03%,4815.0,4835.0,6459.0,31.0,44249.0,2022-07-12,086060,,,,,,8610587,8610587,321017,3.73%,106.06,+0.22%,코스닥,403,1401,7390,4215,3175,1.753262158956109,-2600.0,0.6481732070365359,,,,0.91배 ," 5,124원"," 5,124원",120.13,39.0,0.91,5124.0,
비피도 *,8160.0,90.0,-1.09%,8250.0,8300.0,1807.0,15.0,21512.0,2022-07-12,238200,,,,,,8180000,8180000,19877,0.24%,106.06,+0.26%,코스닥,659,1143,19900,7190,12710,2.767732962447844,-11740.0,0.4100502512562814,,,,1.28배 ," 6,277원"," 6,277원",,-56.0,1.28,6277.0,
제일파마홀딩스,12500.0,150.0,-1.19%,12200.0,12700.0,710.0,8.0,26091.0,2022-07-12,002620,,,,,,15973355,15973355,1566679,9.81%,106.06,+0.22%,코스피,1957,590,24750,10500,14250,2.357142857142857,-12250.0,0.5050505050505051,,,,0.46배 ," 26,587원"," 26,587원",,-411.0,0.46,26587.0,0.53
브릿지바이오테라퓨틱스 *,9100.0,110.0,-1.19%,9200.0,9490.0,5626.0,52.0,57841.0,2022-07-12,288330,,,,,,19866425,19866425,230098,1.16%,106.06,+0.22%,코스닥,1806,446,16250,8110,8140,2.003699136868064,-7150.0,0.56,,,,5.31배 ," 1,713원"," 1,713원",,-1586.0,5.31,1713.0,
